"instance","class"
"http://example.org/merged_ontology.owl","http://www.w3.org/2002/07/owl#Ontology"
"http://example.org/merged_ontology.owl#BCO_0000003","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000016","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000025","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000031","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000032","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000042","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000044","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000046","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000047","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000048","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000051","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000052","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000053","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000054","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000055","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000056","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000059","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000061","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000062","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000063","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000064","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000065","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000066","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000080","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000081","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BCO_0000084","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000001","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000002","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000003","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000004","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000006","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000015","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000016","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000017","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000019","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000020","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000023","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#BFO_0000027","http://www.w3.org/2002/07/owl#Class"
